Rank,Name,State,Type,Admit,Grad4,Cost,NeedAid,NonNeedAid,NNApercent,GradDebt,Salary,Year
102,"Elon University, Elon",NC,Private,52,72,43489,13819,6603,28,27048,43619,2021
103,"Santa Clara University, Santa Clara",CA,Private,49,79,59801,23064,13120,43,27144,68597,2020
104,"Rhodes College, Memphis",TN,Liberal Arts,59,79,55550,26122,18642,84,27170,49569,2021
105,"University of Washington, Seattle",WA,Public,56,60,46295,14956,5500,5,21308,52997,2021
106,"Connecticut College, New London",CT,Liberal Arts,39,74,64612,35822,0,0,28745,50367,2021
107,"Occidental College, Los Angeles",CA,Liberal Arts,40,83,64966,35670,9928,30,30459,50361,2020
108,"Bentley University, Waltham",MA,Private,46,84,60303,29106,16761,33,30961,74957,2021
109,"Union College, Schenectady",NY,Liberal Arts,42,78,63440,33871,9025,53,29107,62010,2020
110,"College of New Jersey, Ewing",NJ,Public,48,76,39121,12023,5330,14,33966,55958,2020
111,"Yeshiva University, New York",NY,Private,82,56,52797,26168,21840,36,24517,54806,2020
112,"Creighton University, Omaha",NE,Private,74,69,48165,22568,14200,68,34050,57186,2020
113,"Trinity College, Hartford",CT,Liberal Arts,35,76,63948,41718,24836,6,27830,55552,2021
114,"Brandeis University, Waltham",MA,Private,36,83,63744,32294,17895,10,29054,58705,2020
115,"Hope College, Holland",MI,Liberal Arts,82,74,40526,18071,8286,56,32086,43083,2020
116,"Wofford College, Spartanburg",SC,Liberal Arts,79,66,51260,29581,15057,65,25205,46520,2021
117,"New College of Florida, Sarasota",FL,Public,60,53,39459,8401,2293,80,18095,865,2020
118,"Baruch College of the City University of New York, New York",NY,Public,27,40,35831,6874,5005,1,7565,53347,2020
119,"Villanova University, Villanova",PA,Private,48,85,60860,29617,14067,11,35517,72731,2020
120,"Georgia Institute of Technology, Atlanta",GA,Public,33,35,43240,9621,4367,11,25636,74097,2020
121,"Muhlenberg College, Allentown",PA,Liberal Arts,55,80,57250,26036,11792,58,29660,55678,2021
122,"Drake University, Des Moines",IA,Private,70,65,43465,16765,12889,72,32030,55021,2020
123,"University of Miami, Coral Gables",FL,Private,38,66,58897,25891,18846,35,27326,53012,2021
124,"University of Pittsburgh, Pittsburgh",PA,Public,54,69,41551,8131,11460,5,36060,49051,2020
125,"Furman University, Greenville",SC,Liberal Arts,68,82,59634,31609,17166,68,25990,48315,2021
126,"George Washington University, Washington",DC,Private,44,71,63390,29967,18756,36,30788,64511,2020
127,"Transylvania University, Lexington",KY,Liberal Arts,85,65,45319,22968,15372,93,27989,41298,2020
128,"University of South Florida, Tampa",FL,Public,49,35,27165,6888,2585,11,22225,41242,2020
129,"California State University, Long Beach, Long Beach",CA,Public,35,15,25030,6549,2356,17,17058,47320,2021
130,"Case Western Reserve University, Cleveland",OH,Private,37,60,59999,26973,22087,61,32938,67572,2021
131,"University of California, San Diego, La Jolla",CA,Public,32,53,52452,17610,9195,4,22175,59878,2021
132,"University of California, Santa Barbara, Santa Barbara",CA,Public,36,72,53764,17961,12066,4,21006,51654,2020
133,"Appalachian State University, Boone",NC,Public,64,41,29614,8098,2768,5,21610,35951,2020
134,"Lawrence University, Appleton",WI,Liberal Arts,73,64,53877,29082,18007,80,33592,41865,2021
135,"Knox College, Galesburg",IL,Liberal Arts,69,74,52319,27794,15785,83,28886,42501,2021
136,"University of Texas at Austin, Austin",TX,Public,42,52,47205,9130,6047,2,27454,53645,2020
137,"Stony Brook University, State University of New York, Stony Brook",NY,Public,42,52,37524,7315,4230,8,24857,56491,2021
138,"Miami University, Oxford",OH,Public,64,68,43769,8666,7043,45,29113,46374,2020
139,"Drury University, Springfield",MO,Private,82,42,34135,14966,8263,77,25345,32414,2020
140,"St. Lawrence University, Canton",NY,Liberal Arts,48,81,62796,31545,20225,76,27523,46367,2020
141,"Virginia Polytechnic Institute and State University, Blacksburg",VA,Public,71,63,37684,6820,3526,19,27712,58461,2020
142,"Pepperdine University, Malibu",CA,Private,37,79,63152,37299,18974,31,32538,61541,2020
143,"University of Connecticut, Storrs",CT,Public,50,69,46982,8681,6519,23,24925,53371,2020
144,"Clemson University, Clemson",SC,Public,51,64,42631,8595,5280,45,29584,49282,2020
145,"Purdue University, West Lafayette",IN,Public,60,42,40675,11669,6697,17,28461,53231,2020
146,"Agnes Scott College, Decatur",GA,Liberal Arts,68,76,48808,27280,22131,70,27201,40054,2020
147,"Gonzaga University, Spokane",WA,Private,69,70,49231,19336,12083,87,29846,53763,2020
148,"University of Texas at Dallas, Richardson",TX,Public,62,51,42385,8668,11813,26,19968,50179,2021
149,"Emerson College, Boston",MA,Private,50,74,58323,17073,14675,18,23897,44528,2020
150,"Lewis & Clark College, Portland",OR,Liberal Arts,69,67,57189,29316,13382,54,25883,43721,2021
151,"Beloit College, Beloit",WI,Liberal Arts,68,66,53620,25776,17256,73,29036,38174,2020
152,"Stevens Institute of Technology, Hoboken",NJ,Private,42,35,61494,13371,17765,78,26473,83666,2021
153,"University of Minnesota, Morris, Morris",MN,Public,63,56,22221,9921,3727,26,24618,39483,2021
154,"Rutgers University — New Brunswick, Piscataway",NJ,Public,58,61,42043,10938,8276,4,25708,54523,2020
155,"Franciscan University of Steubenville, Steubenville",OH,Private,76,62,33565,10022,5438,55,33020,35320,2020
156,"Cornell College, Mount Vernon",IA,Liberal Arts,74,59,47375,23415,18292,89,25629,41501,2021
157,"Carnegie Mellon University, Pittsburgh",PA,Private,27,69,65067,29999,10867,6,31802,71964,2020
158,"Earlham College, Richmond",IN,Liberal Arts,63,65,54386,30343,12143,32,27038,31881,2020
159,"Boston University, Boston",MA,Private,36,78,64255,29888,17594,11,38743,60444,2020
160,"Christendom College, Front Royal",VA,Liberal Arts,89,69,34188,8315,8785,46,31384,-670,2020
161,"Goshen College, Goshen",IN,Liberal Arts,54,53,41991,20122,13569,62,27049,36468,2020
162,"Tulane University, New Orleans",LA,Private,30,66,63940,28261,21325,37,31213,53207,2020
163,"Augustana College, Rock Island",IL,Liberal Arts,53,73,49026,20526,16568,95,31607,50184,2020
164,"James Madison University, Harrisonburg",VA,Public,65,63,36017,7515,3172,1,23382,53272,2021
165,"Samford University, Birmingham",AL,Private,81,50,38328,13977,9636,67,26788,46421,2020
166,"Butler University, Indianapolis",IN,Private,69,64,49495,18721,11979,82,35719,52452,2021
167,"University of Delaware, Newark",DE,Public,65,70,44114,8988,7037,38,32899,54629,2020
168,"University of Portland, Portland",OR,Private,61,71,52210,21962,14965,83,25889,50827,2021
169,"College of Saint Benedict, Saint Joseph",MN,Liberal Arts,82,75,51174,25683,15708,78,39987,46984,2020
170,"St. Mary's College of Maryland, St. Mary's City",MD,Public,81,72,42712,11038,4021,30,24308,48971,2021
171,"Sarah Lawrence College, Bronxville",NY,Liberal Arts,54,76,66843,34699,16582,63,18293,38959,2021
172,"University of WisconsinLa Crosse, La Crosse",WI,Public,75,32,21992,5711,1583,4,26376,44142,2021
173,"Hunter College of the City University of New York, New York",NY,Public,34,22,32971,6526,3152,7,13226,45403,2021
174,"American University, Washington",DC,Private,47,74,58490,22752,13989,21,31857,55464,2020
175,"New York University, New York",NY,Private,33,69,66671,24178,7512,9,28211,57986,2020
176,"Hendrix College, Conway",AR,Liberal Arts,84,60,53411,28911,25756,91,29959,40513,2021
177,"University of Maryland, Baltimore County, Baltimore",MD,Public,62,36,35849,7951,7964,20,25416,54273,2020
178,"University of Central Florida, Orlando",FL,Public,49,42,32654,4897,3459,5,23354,43669,2021
179,"Luther College, Decorah",IA,Liberal Arts,72,78,48014,22162,16062,33,36532,41777,2021
180,"Texas A&M University, College Station",TX,Public,70,47,40087,9304,3354,19,24305,52073,2021
181,"University of Missouri, Columbia",MO,Public,76,41,36744,8818,5065,29,24991,45506,2020
182,"University of California, Irvine, Irvine",CA,Public,35,67,54113,17249,8541,6,20950,56193,2021
183,"Saint John's University, Collegeville",MN,Liberal Arts,80,69,50034,25341,15184,74,37982,56758,2020
184,"University of Alabama, Tuscaloosa",AL,Public,53,39,35093,9265,12209,30,30031,41690,2020
185,"College of the Atlantic, Bar Harbor",ME,Liberal Arts,72,53,52326,31543,9693,44,24474,27387,2021
186,"Siena College, Loudonville",NY,Liberal Arts,57,71,43364,17459,7106,55,32733,55334,2020
187,"University of Arkansas, Fayetteville",AR,Public,63,32,32735,6696,4895,19,23573,43086,2021
188,"University of Northern Iowa, Cedar Falls",IA,Public,52,37,27275,4446,3378,18,23291,41684,2021
189,"University of Tulsa, Tulsa",OK,Private,38,55,52289,5905,17829,64,28800,44198,2021
190,"William Jewell College, Liberty",MO,Liberal Arts,65,58,41129,19677,15269,46,30502,39737,2021
191,"State University of New York College at Oneonta, Oneonta",NY,Public,42,53,29887,4642,2827,19,16024,41481,2021
192,"University of Dayton, Dayton",OH,Private,60,55,52803,20434,12540,63,34844,51335,2021
193,"Millsaps College, Jackson",MS,Liberal Arts,56,63,48967,23345,20354,90,28285,45752,2021
194,"Southwestern University, Georgetown",TX,Liberal Arts,51,62,50536,26040,18514,91,31548,48037,2021
195,"Maryville University of Saint Louis, St. Louis",MO,Private,70,49,39893,14342,9559,32,32222,44841,2021
196,"State University of New York at New Paltz, New Paltz",NY,Public,42,56,31198,4763,1830,1,25680,45924,2020
197,"Marist College, Poughkeepsie",NY,Private,39,64,48791,15422,7619,46,34137,55319,2020
198,"University of Oklahoma, Norman",OK,Public,80,41,33533,5978,2108,14,23711,46318,2021
199,"Austin College, Sherman",TX,Liberal Arts,56,70,48994,25868,19297,34,36795,47431,2021
200,"Penn State University Park, University Park",PA,Public,50,62,44191,6911,3757,17,37321,47303,2020
201,"Houghton College, Houghton",NY,Liberal Arts,92,68,38279,11515,9046,16,26817,38466,2021
202,"Saint Louis University, St. Louis",MO,Private,59,60,50151,20223,13880,52,36288,55824,2020
203,"Illinois Institute of Technology, Chicago",IL,Private,51,26,55098,28196,19854,65,32072,68333,2021
204,"San Diego State University, San Diego",CA,Public,34,33,34954,9822,2300,8,18101,47869,2021
205,"University of North Florida, Jacksonville",FL,Public,61,24,30660,6034,2970,16,19255,42305,2020
206,"Oklahoma State University, Stillwater",OK,Public,76,36,29467,6623,5553,41,22821,43121,2021
207,"University of Science and Arts of Oklahoma, Chickasha",OK,Public,63,21,21824,8198,2779,26,19708,30681,2021
208,"Hobart and William Smith Colleges, Geneva",NY,Liberal Arts,49,76,61953,28303,15535,53,34922,48240,2020
209,"University of Massachusetts Amherst, Amherst",MA,Public,61,68,42988,9742,4310,20,29727,49477,2020
210,"University of North Carolina Wilmington, Wilmington",NC,Public,57,49,31312,2441,3853,0,26191,37920,2021
211,"University of California, Davis, Davis",CA,Public,39,50,55069,17058,5626,9,20131,57682,2020
212,"Marquette University, Milwaukee",WI,Private,68,56,50084,17855,10294,83,35513,54827,2021
213,"Missouri University of Science and Technology, Rolla",MO,Public,85,20,37364,7408,5080,17,27870,64830,2020
214,"University of Dallas, Irving",TX,Liberal Arts,86,67,49068,23329,16730,88,32678,44899,2021
215,"University at Buffalo, the State University of New York, Buffalo",NY,Public,59,55,38734,5444,6158,2,21939,48913,2021
216,"Iowa State University of Science and Technology, Ames",IA,Public,88,36,30391,6904,2916,52,28415,46970,2020
217,"University of North Carolina at Asheville, Asheville",NC,Public,72,40,32382,6620,2654,10,21708,36900,2021
218,"St. John's College, Annapolis",MD,Liberal Arts,85,64,60786,30553,19258,71,29135,34286,2020
219,"University of Denver, Denver",CO,Private,78,61,57183,28590,14724,58,29078,51838,2021
220,"Simmons College, Boston",MA,Private,54,72,53497,23700,14030,49,26715,52218,2020
221,"University of Tennessee, Knoxville",TN,Public,74,43,41525,8972,3685,24,23378,42907,2021
222,"Salisbury University, Salisbury",MD,Public,56,50,29404,5976,2322,21,23907,48252,2021
223,"Wabash College, Crawfordsville",IN,Liberal Arts,70,65,51213,23454,16631,5,30043,50850,2021
224,"Oklahoma City University, Oklahoma City",OK,Private,67,49,41721,16045,18931,50,27612,39824,2020
225,"Michigan State University, East Lansing",MI,Public,68,49,46428,9583,8241,11,25532,50361,2020
226,"Whitworth University, Spokane",WA,Private,74,68,50869,22990,16897,78,25641,41177,2021
227,"Mercer University, Macon",GA,Private,68,49,46146,24042,19145,74,29931,47162,2021
228,"University of Nebraska — Lincoln, Lincoln",NE,Public,71,30,33570,7060,6399,9,23831,44428,2021
229,"University of San Diego, San Diego",CA,Private,46,65,58454,24352,14025,27,30512,57162,2020
230,"Bradley University, Peoria",IL,Private,65,51,42123,14953,10012,70,26801,52838,2020
231,"Purchase College, State University of New York, Purchase",NY,Public,40,61,32022,6533,2040,14,26746,34288,2021
232,"University of South Carolina, Columbia",SC,Public,63,55,41515,5087,4924,51,28098,41427,2021
233,"Juniata College, Huntingdon",PA,Liberal Arts,75,69,53296,25068,18054,80,32674,45709,2020
234,"Union University, Jackson",TN,Private,69,62,40360,5806,12889,32,29471,37504,2021
235,"State University of New York at Plattsburgh, Plattsburgh",NY,Public,46,38,29407,6680,3457,33,28847,40772,2021
236,"Western Carolina University, Cullowhee",NC,Public,42,35,27455,6072,1780,8,23815,35181,2021
237,"Providence College, Providence",RI,Private,62,85,59787,22919,20050,31,31774,59593,2021
238,"Coe College, Cedar Rapids",IA,Liberal Arts,56,58,48749,25173,20313,64,31411,43768,2020
239,"Florida International University, Miami",FL,Public,50,27,30604,5673,1316,7,18624,45344,2020
240,"Wheaton College, Norton",MA,Liberal Arts,71,75,60385,31121,12486,71,29156,45675,2021
241,"Arizona State University at the Tempe campus, Tempe",AZ,Public,83,41,37072,8929,7688,34,22567,45648,2021
242,"St. John's College, Santa Fe",NM,Liberal Arts,81,44,60562,29371,10805,72,25684,32394,2021
243,"Christopher Newport University, Newport News",VA,Public,58,57,35929,5691,2219,18,28798,42363,2020
244,"Hollins University, Roanoke",VA,Liberal Arts,57,56,47689,28383,23067,81,37969,36315,2020
245,"Rockhurst University, Kansas City",MO,Private,78,57,45124,3172,20636,20,25107,47697,2021
246,"Duquesne University, Pittsburgh",PA,Private,75,67,46274,18013,10804,76,35064,53860,2020
247,"Loyola Marymount University, Los Angeles",CA,Private,54,71,59076,19332,9432,50,30915,56114,2021
248,"Belmont University, Nashville",TN,Private,81,54,40979,12071,7438,32,28055,38167,2020
249,"Louisiana Tech University, Ruston",LA,Public,66,31,32073,8304,3011,16,16783,41439,2021
250,"Southern Methodist University, Dallas",TX,Private,54,72,64852,19697,20479,49,34484,53019,2020
251,"Loyola University Chicago, Chicago",IL,Private,61,61,55202,18853,13220,52,31427,49775,2021
252,"University of Puget Sound, Tacoma",WA,Liberal Arts,77,66,57760,23451,14886,93,28192,51179,2020
253,"Auburn University, Auburn University",AL,Public,83,40,41151,7531,6903,27,27706,46313,2020
254,"LeTourneau University, Longview",TX,Private,47,31,39743,15084,8037,15,37953,50743,2021
255,"Ramapo College of New Jersey, Mahwah",NJ,Public,52,63,35731,9176,10921,15,30472,49688,2021
256,"Clarkson University, Potsdam",NY,Private,62,54,58912,29158,19191,74,28248,69079,2021
257,"Louisiana State University and Agricultural & Mechanical College, Baton Rouge",LA,Public,75,35,38669,10195,5098,20,23026,45187,2020
258,"Geneva College, Beaver Falls",PA,Private,72,53,35290,15271,9952,40,33232,38370,2021
259,"Rensselaer Polytechnic Institute, Troy",NY,Private,39,63,67009,28488,15860,70,42005,81061,2020
260,"Hanover College, Hanover",IN,Liberal Arts,65,65,46422,23645,18221,90,30358,44508,2020
261,"Rochester Institute of Technology, Rochester",NY,Private,59,25,48714,19019,10000,38,25702,57637,2021
262,"University of Louisville, Louisville",KY,Public,73,20,34919,8707,7908,20,22840,37765,2020
263,"Fairfield University, Fairfield",CT,Private,73,74,59894,15606,15452,55,27739,68883,2020
264,"Western Washington University, Bellingham",WA,Public,83,41,33133,9102,2020,3,22229,42888,2020
265,"Syracuse University, Syracuse",NY,Private,54,65,60532,26770,10290,21,33962,55994,2021
266,"Spelman College, Atlanta",GA,Liberal Arts,56,71,39804,14902,0,0,32906,45857,2020
267,"Fordham University, New York",NY,Private,47,80,64043,23821,14594,44,35369,55423,2020
268,"Valparaiso University, Valparaiso",IN,Private,84,62,47998,22367,13003,62,35048,48261,2021
269,"Seattle Pacific University, Seattle",WA,Private,83,61,48577,26023,20277,66,29536,43867,2020
270,"West Chester University of Pennsylvania, West Chester",PA,Public,51,41,28784,5565,4128,3,30481,45927,2020
271,"Saint Michael's College, Colchester",VT,Private,79,74,53684,21902,14525,64,36288,47095,2021
272,"Washington & Jefferson College, Washington",PA,Liberal Arts,40,73,54673,13325,15129,78,26671,49352,2020
273,"University of St. Thomas, St. Paul",MN,Private,88,62,48824,18380,15098,24,36887,53536,2020
274,"Centenary College of Louisiana, Shreveport",LA,Private,64,47,48090,22005,15863,98,27689,39645,2020
275,"University of Mississippi, University",MS,Public,83,34,32386,7574,7363,33,27079,40023,2020
276,"Loyola University Maryland, Baltimore",MD,Private,58,77,60004,22579,14675,27,33481,62340,2021
277,"University of Evansville, Evansville",IN,Private,84,55,44639,22812,17045,60,28747,39362,2021
278,"College at Brockport, State University of New York, Brockport",NY,Public,50,53,30391,5883,4010,4,27925,39887,2020
279,"Baldwin Wallace University, Berea",OH,Private,66,46,39051,16225,12080,48,31938,44668,2020
280,"Indiana University Bloomington, Bloomington",IN,Public,77,56,43901,10205,5446,36,27585,45519,2021
281,"Chapman University, Orange",CA,Private,48,60,61967,15772,17071,44,28687,51291,2020
282,"Texas Tech University, Lubbock",TX,Public,64,34,30040,7189,3289,14,27596,45673,2021
283,"Towson University, Towson",MD,Public,59,44,33080,8244,4867,10,26000,48762,2020
284,"Howard University, Washington",DC,Private,47,45,40697,7308,24835,25,31495,46771,2021
285,"Lipscomb University, Nashville",TN,Private,55,50,41766,3855,13435,61,29954,38106,2020
286,"St. John Fisher College, Rochester",NY,Private,66,64,42379,14990,10061,76,33709,43979,2020
287,"St. Bonaventure University, St. Bonaventure",NY,Private,72,56,43970,18872,12572,91,35951,45659,2021
288,"Rollins College, Winter Park",FL,Private,59,64,60084,26679,19134,55,27265,42860,2021
289,"Colorado State University, Fort Collins",CO,Public,81,37,39824,6751,4214,17,23112,44671,2020
290,"Georgia College & State University, Milledgeville",GA,Public,77,45,40330,4383,1610,3,23295,37511,2021
291,"University of Colorado Boulder, Boulder",CO,Public,85,43,49518,10411,10019,33,25787,48726,2020
292,"University of Iowa, Iowa City",IA,Public,79,46,39209,7552,4739,23,28205,48117,2021
293,"Bethel University, St. Paul",MN,Private,96,64,45307,18130,10497,49,34051,43694,2020
294,"University of Vermont, Burlington",VT,Public,74,67,51141,14680,8658,43,27759,44028,2021
295,"University of California, Santa Cruz, Santa Cruz",CA,Public,57,50,55304,18188,5887,13,23048,44289,2020
296,"Nazareth College of Rochester, Rochester",NY,Private,68,68,46102,15381,15594,70,35271,43565,2020
297,"Xavier University, Cincinnati",OH,Private,75,61,47199,15707,13774,69,34125,49109,2021
298,"University of California, Riverside, Riverside",CA,Public,56,42,55636,16817,12155,14,20472,47823,2021
299,"University of Arizona, Tucson",AZ,Public,76,44,42822,10679,8099,30,23060,44173,2020
300,"University of Oregon, Eugene",OR,Public,77,48,45861,7459,4014,21,24203,41072,2020
